Category,Question,Answer
history,When was Alumni Meet held?,12-Apr-25
basic_info,Tell me about Alumni Meet.,Alumni Meet was organized at JSCOE; date: 12 April 2025.
history,When was Hands-on Session on AI Tools in Education held?,28-Mar-25
basic_info,Tell me about Hands-on Session on AI Tools in Education.,Hands-on Session on AI Tools in Education was organized at JSCOE; date: 28 March 2025.
history,When was Roadmap to Cloud Computing held?,21-Feb-25
basic_info,Tell me about Roadmap to Cloud Computing.,Roadmap to Cloud Computing was organized at JSCOE; date: 21 February 2025.
history,When was How to Write Quality Research Papers held?,13-Mar-25
research,Tell me about How to Write Quality Research Papers.,How to Write Quality Research Papers was organized at JSCOE; date: 13 March 2025.
placement,What is Overall placement rate for 2024 (portal aggregate)?,≈80% (varies by source).
placement,What is Highest package 2024 (portal figure)?,₹26.40 LPA.
placement,What is Average package 2024 (portal figure)?,₹5–7 LPA.
placement,What is Median package 2024 (portal figure)?,₹3.5 LPA.
basic_info,What is Number of students placed 2024 (portal figure)?,≈325 students.
basic_info,What is Offers made 2024 (portal figure)?,250+ offers.
basic_info,What is Student review trend 2025 (Shiksha)?,≈85% placement with branch-wise variation; many offers in ₹3–5 LPA range.
placement,Name some top recruiters at JSCOE.,"TCS, Infosys, Wipro, HCL, Tech Mahindra, Accenture, IBM, Capgemini, Hexaware, Hexaview, Barclays, Vodafone, Cognizant"
basic_info,Which company hired MBA student Priyanka Pawar?,"MD India as Executive, CTC 3.5 LPA."
basic_info,Which company hired MBA student Madhav Suryavanshi?,"Ashirwad Micro Finance Limited as Junior Assistant, CTC 2.6 LPA."
basic_info,Which company hired MBA student Pooja Nikam?,"Prerna Enterprises as Accountant, CTC 2.4 LPA."
basic_info,Which company hired MBA student Adesh Shinde?,"Shriniwas Mapower Services Pvt Ltd as Territory Associate Logistics, CTC 1.92 LPA."
admission,When was the Admission AY 2025–26 notice published on the JSCOE site?,21-May-25
admission,Which exams are accepted for B.E. admissions at JSCOE?,MHT-CET and JEE Main (as per SPPU/State norms).
admission,Which exams are accepted for M.E. admissions at JSCOE?,GATE (as per DTE/State norms).
admission,Which exam is accepted for MBA admissions in Maharashtra?,MAH MBA/MMS CET (State CET Cell).
admission,Which exam is accepted for MCA admissions in Maharashtra?,MAH MCA CET (State CET Cell).
admission,CAP Round reporting for FE 2025 (example window)?,02–04 September 2025 (per CET Cell schedule; check portal for exact program-wise dates).
policies,Does JSCOE have Anti-Ragging Policy (as per AICTE/UGC)?,Yes.
policies,Does JSCOE have Student Grievance Cell?,Yes.
placement,Does JSCOE have Training & Placement rules & regulations?,Yes.
policies,Does JSCOE have Equal Opportunity & Women Development Cell?,Yes.
policies,Does JSCOE have Internal Complaint Committee (ICC)?,Yes.
placement,Who is the Training & Placement Officer (TPO) at JSCOE?,Mr. Sachin Kangutkar.
contact,What is the email ID of the TPO?,s.kangutkar@gmail.com
placement,Who is the Assistant T&P Officer?,Prof. Shekhar Gulwade.
basic_info,Where can I find NIRF reports for JSCOE?,On the JSCOE website under IIC/NIRF section (NIRF India Ranking 2024 and 2025 reports).
events,On what date was Techmanthan 2025 held?,28-Jan-25
events,On what date was Startup Feast under Techmanthan held?,28–29 January 2025
basic_info,On what date was A seminar for SE students by Aditi Singhal held?,24-Jan-25
basic_info,On what date was Induction Program for SE & TE (AY 2025–26) held?,9-Jul-25
basic_info,On what date was Kargil Vijay Diwas Celebration held?,31-Jul-25
basic_info,On what date was Ganpati Mahotsav held?,30-Aug-25
admission,Who’s the admission contact for First Year Engineering (FE)?,Dr. Manish Gardi – 7558670405.
admission,What's the phone number for First Year Engineering (FE) admissions?,7558670405
admission,Who’s the admission contact for Direct Second Year (DSE)?,Prof. Vijay Kharade – 9763225246.
admission,What's the phone number for Direct Second Year (DSE) admissions?,9763225246
admission,Who’s the admission contact for MBA?,Prof. Sashi Bhushan Rai – 9975927949.
admission,What's the phone number for MBA admissions?,9975927949
admission,Who’s the admission contact for MCA?,Prof. Swayam Shaha – 9890792906.
admission,What's the phone number for MCA admissions?,9890792906
admission,Who’s the admission contact for M.E./PG?,Prof. M. D. Ingle – 9975563721.
admission,What's the phone number for M.E./PG admissions?,9975563721
basic_info,Do they have JSCOE offer Computer Engineering at the undergraduate level?,Yes. B.E. in Computer Engineering.
basic_info,Do they have JSCOE offer Electronics and Telecommunication Engineering at the undergraduate level?,Yes. B.E. in Electronics and Telecommunication Engineering.
basic_info,Do they have JSCOE offer Electrical Engineering at the undergraduate level?,Yes. B.E. in Electrical Engineering.
basic_info,Do they have JSCOE offer Information Technology at the undergraduate level?,Yes. B.E. in Information Technology.
basic_info,Do they have JSCOE offer Mechanical Engineering at the undergraduate level?,Yes. B.E. in Mechanical Engineering.
admission,How do I apply for admission to JSCOE?,Apply via State CET CAP portal (for FE/DSE/MBA/MCA/M.E.) and submit the institute form at jspmjscoe.edu.in.
admission,Can I apply to multiple programs at JSCOE?,"Yes, if you meet eligibility criteria for each program."
basic_info,Is English the medium of instruction?,"Yes, for all programs."
placement,Are internships available?,Yes. Internships are supported via industry tie-ups and MOUs.
facilities,Does JSCOE provide hostel facilities?,Yes. Separate hostels for girls are available.
facilities,Is there transport/bus service?,"Yes, covering major Pune routes."
events,Does JSCOE support student startups?,Yes. Through the Incubation Center and JADE (Section 8).
labs,Are 2025–26 cutoffs available for JSCOE?,Cutoffs are released via CET Cell CAP rounds; refer to official CAP portal and education portals for trends.
admission,Where can I check 2025 CAP schedules?,On the State CET Cell website under CAP 2025–26 and Time-Table sections.
basic_info,Is GATE 2026 registration open?,"Yes. IIT Guwahati opened registrations on August 28, 2025 at gate2026.iitg.ac.in."
basic_info,How do I get a bonafide certificate?,Apply through the student section with ID proof; processing typically within 2–3 working days (check institute notice).
basic_info,How do I request transcripts?,Submit an application at the exam/administration cell; fees and processing time per SPPU norms.
placement,How to get T&P registration?,Fill the T&P registration form shared over email/ERP; adhere to placement rules and attend training sessions.
contact,How to contact the principal’s office?,Email principal@jspmjscoe.edu.in or call the college phone number during working hours.
facilities,How to reach JSCOE campus by public transport?,"Use city buses/private transport toward Hadapsar; the campus is on Handewadi Road, near Indrayani Nagar."
labs,What labs are available in Computer Engineering?,"AI/ML Lab, Data Science Lab, Programming Lab, IoT Lab"
labs,What labs are available in IT?,"Networks Lab, Web & Cloud Lab, Database Lab"
labs,What labs are available in E&TC?,"Communication Lab, Embedded Systems Lab, VLSI Lab"
labs,What labs are available in Electrical?,"Power Systems Lab, Machines Lab, Control Systems Lab"
labs,What labs are available in Mechanical?,"CAD/CAM Lab, Thermal Engineering Lab, Manufacturing Lab"
labs,Does JSCOE have recent MoUs for industry collaboration?,"Yes. Multiple MoUs for internships, projects, and placements (e.g., Prime Industries signed on 22/02/2025)."
admission,I can't find my CAP Allotment Letter. What should I do?,"Download it again from your CET Cell candidate login; if issues persist, contact CET Cell helpdesk and college admissions team."
contact,Whom to contact for document verification queries?,Reach out to the respective admissions coordinator (program-wise) via the published contact numbers or admission@jspmjscoe.edu.in.
policies,Is there any grievance redressal mechanism?,Yes. Use the institute’s Grievance Redressal portal/cell and escalate via department head if needed.
admission,How do I apply for admission to JSCOE? Please share details.,Apply via State CET CAP portal (for FE/DSE/MBA/MCA/M.E.) and submit the institute form at jspmjscoe.edu.in.
admission,How do I apply for admission to JSCOE? Kindly clarify.,Apply via State CET CAP portal (for FE/DSE/MBA/MCA/M.E.) and submit the institute form at jspmjscoe.edu.in.
admission,How can I apply for admission to JSCOE?,Apply via State CET CAP portal (for FE/DSE/MBA/MCA/M.E.) and submit the institute form at jspmjscoe.edu.in.
admission,Can I apply to multiple programs at JSCOE? Kindly clarify.,"Yes, if you meet eligibility criteria for each program."
admission,Can I apply to multiple programs at JSCOE? Please share details.,"Yes, if you meet eligibility criteria for each program."
basic_info,Is English the medium of instruction? Please share details.,"Yes, for all programs."
basic_info,Is English the medium of instruction? Kindly clarify.,"Yes, for all programs."
placement,Are internships available? Kindly clarify.,Yes. Internships are supported via industry tie-ups and MOUs.
placement,Are internships available? Please share details.,Yes. Internships are supported via industry tie-ups and MOUs.
facilities,Does JSCOE provide hostel facilities? Kindly clarify.,Yes. Separate hostels for girls are available.
facilities,Do JSCOE provide hostel facilities?,Yes. Separate hostels for girls are available.
facilities,Does JSCOE provide hostel facilities? Please share details.,Yes. Separate hostels for girls are available.
facilities,Is there transport/bus service? Please share details.,"Yes, covering major Pune routes."
facilities,Is there transport/bus service? Kindly clarify.,"Yes, covering major Pune routes."
events,Do JSCOE support student startups?,Yes. Through the Incubation Center and JADE (Section 8).
events,Does JSCOE support student startups? Kindly clarify.,Yes. Through the Incubation Center and JADE (Section 8).
events,Does JSCOE support student startups? Please share details.,Yes. Through the Incubation Center and JADE (Section 8).
basic_info,How can I get a bonafide certificate?,Apply through the student section with ID proof; processing typically within 2–3 working days (check institute notice).
basic_info,How do I get a bonafide certificate? Kindly clarify.,Apply through the student section with ID proof; processing typically within 2–3 working days (check institute notice).
basic_info,How do I get a bonafide certificate? Please share details.,Apply through the student section with ID proof; processing typically within 2–3 working days (check institute notice).
basic_info,How do I request transcripts? Please share details.,Submit an application at the exam/administration cell; fees and processing time per SPPU norms.
basic_info,How can I request transcripts?,Submit an application at the exam/administration cell; fees and processing time per SPPU norms.
basic_info,How do I request transcripts? Kindly clarify.,Submit an application at the exam/administration cell; fees and processing time per SPPU norms.
placement,How to get T&P registration? Please share details.,Fill the T&P registration form shared over email/ERP; adhere to placement rules and attend training sessions.
placement,How to get T&P registration? Kindly clarify.,Fill the T&P registration form shared over email/ERP; adhere to placement rules and attend training sessions.
contact,How to contact the principal’s office? Please share details.,Email principal@jspmjscoe.edu.in or call the college phone number during working hours.
contact,How to contact the principal’s office? Kindly clarify.,Email principal@jspmjscoe.edu.in or call the college phone number during working hours.
facilities,How to reach JSCOE campus by public transport? Please share details.,"Use city buses/private transport toward Hadapsar; the campus is on Handewadi Road, near Indrayani Nagar."
facilities,How to reach JSCOE campus by public transport? Kindly clarify.,"Use city buses/private transport toward Hadapsar; the campus is on Handewadi Road, near Indrayani Nagar."
facilities,Does JSCOE have hostel?,Yes. Separate girls’ hostel is available.
facilities,Is there hostel facility at JSCOE?,Yes. Separate girls’ hostel is available.
facilities,Tell me about hostel facilities at JSCOE.,Yes. Separate girls’ hostel is available.
labs,Availability of hostel at JSCOE?,Yes. Separate girls’ hostel is available.
facilities,Do students get access to hostel?,Yes. Separate girls’ hostel is available.
facilities,Does JSCOE have transport/bus?,Yes. College buses cover major Pune routes.
facilities,Is there transport/bus facility at JSCOE?,Yes. College buses cover major Pune routes.
facilities,Tell me about transport/bus facilities at JSCOE.,Yes. College buses cover major Pune routes.
labs,Availability of transport/bus at JSCOE?,Yes. College buses cover major Pune routes.
facilities,Do students get access to transport/bus?,Yes. College buses cover major Pune routes.
facilities,Does JSCOE have library?,Yes. Jayawant Central Library with print & digital resources.
facilities,Is there library facility at JSCOE?,Yes. Jayawant Central Library with print & digital resources.
facilities,Tell me about library facilities at JSCOE.,Yes. Jayawant Central Library with print & digital resources.
labs,Availability of library at JSCOE?,Yes. Jayawant Central Library with print & digital resources.
facilities,Do students get access to library?,Yes. Jayawant Central Library with print & digital resources.
basic_info,Does JSCOE have sports?,Yes. Outdoor grounds and indoor facilities.
facilities,Is there sports facility at JSCOE?,Yes. Outdoor grounds and indoor facilities.
facilities,Tell me about sports facilities at JSCOE.,Yes. Outdoor grounds and indoor facilities.
labs,Availability of sports at JSCOE?,Yes. Outdoor grounds and indoor facilities.
basic_info,Do students get access to sports?,Yes. Outdoor grounds and indoor facilities.
facilities,Does JSCOE have canteen/cafeteria?,Yes. Hygienic canteen on campus.
facilities,Is there canteen/cafeteria facility at JSCOE?,Yes. Hygienic canteen on campus.
facilities,Tell me about canteen/cafeteria facilities at JSCOE.,Yes. Hygienic canteen on campus.
labs,Availability of canteen/cafeteria at JSCOE?,Yes. Hygienic canteen on campus.
facilities,Do students get access to canteen/cafeteria?,Yes. Hygienic canteen on campus.
basic_info,Does JSCOE have Wi‑Fi?,Yes. Campus is Wi‑Fi enabled.
facilities,Is there Wi‑Fi facility at JSCOE?,Yes. Campus is Wi‑Fi enabled.
facilities,Tell me about Wi‑Fi facilities at JSCOE.,Yes. Campus is Wi‑Fi enabled.
labs,Availability of Wi‑Fi at JSCOE?,Yes. Campus is Wi‑Fi enabled.
basic_info,Do students get access to Wi‑Fi?,Yes. Campus is Wi‑Fi enabled.
basic_info,Does JSCOE have medical room?,Yes. Basic first-aid and medical room available.
facilities,Is there medical room facility at JSCOE?,Yes. Basic first-aid and medical room available.
facilities,Tell me about medical room facilities at JSCOE.,Yes. Basic first-aid and medical room available.
labs,Availability of medical room at JSCOE?,Yes. Basic first-aid and medical room available.
basic_info,Do students get access to medical room?,Yes. Basic first-aid and medical room available.
basic_info,Does JSCOE have smart classrooms?,Yes. Classrooms with AV aids.
facilities,Is there smart classrooms facility at JSCOE?,Yes. Classrooms with AV aids.
facilities,Tell me about smart classrooms facilities at JSCOE.,Yes. Classrooms with AV aids.
labs,Availability of smart classrooms at JSCOE?,Yes. Classrooms with AV aids.
basic_info,Do students get access to smart classrooms?,Yes. Classrooms with AV aids.
placement,Does TCS visit JSCOE for placements?,Yes. Listed among past recruiters.
placement,Is TCS a recruiter at JSCOE?,Yes. Listed among past recruiters.
basic_info,Have students been placed in TCS?,Yes. Listed among past recruiters.
placement,Does Infosys visit JSCOE for placements?,Yes. Listed among past recruiters.
placement,Is Infosys a recruiter at JSCOE?,Yes. Listed among past recruiters.
basic_info,Have students been placed in Infosys?,Yes. Listed among past recruiters.
placement,Does Wipro visit JSCOE for placements?,Yes. Listed among past recruiters.
placement,Is Wipro a recruiter at JSCOE?,Yes. Listed among past recruiters.
basic_info,Have students been placed in Wipro?,Yes. Listed among past recruiters.
placement,Does HCL visit JSCOE for placements?,Yes. Listed among past recruiters.
placement,Is HCL a recruiter at JSCOE?,Yes. Listed among past recruiters.
basic_info,Have students been placed in HCL?,Yes. Listed among past recruiters.
placement,Does Tech Mahindra visit JSCOE for placements?,Yes. Listed among past recruiters.
placement,Is Tech Mahindra a recruiter at JSCOE?,Yes. Listed among past recruiters.
basic_info,Have students been placed in Tech Mahindra?,Yes. Listed among past recruiters.
placement,Does Accenture visit JSCOE for placements?,Yes. Listed among past recruiters.
placement,Is Accenture a recruiter at JSCOE?,Yes. Listed among past recruiters.
basic_info,Have students been placed in Accenture?,Yes. Listed among past recruiters.
placement,Does IBM visit JSCOE for placements?,Yes. Listed among past recruiters.
placement,Is IBM a recruiter at JSCOE?,Yes. Listed among past recruiters.
basic_info,Have students been placed in IBM?,Yes. Listed among past recruiters.
admission,Does Capgemini visit JSCOE for placements?,Yes. Listed among past recruiters.
admission,Is Capgemini a recruiter at JSCOE?,Yes. Listed among past recruiters.
admission,Have students been placed in Capgemini?,Yes. Listed among past recruiters.
placement,Does Hexaware visit JSCOE for placements?,Yes. Listed among past recruiters.
placement,Is Hexaware a recruiter at JSCOE?,Yes. Listed among past recruiters.
basic_info,Have students been placed in Hexaware?,Yes. Listed among past recruiters.
placement,Does Hexaview visit JSCOE for placements?,Yes. Listed among past recruiters.
placement,Is Hexaview a recruiter at JSCOE?,Yes. Listed among past recruiters.
basic_info,Have students been placed in Hexaview?,Yes. Listed among past recruiters.
placement,Does Barclays visit JSCOE for placements?,Yes. Listed among past recruiters.
placement,Is Barclays a recruiter at JSCOE?,Yes. Listed among past recruiters.
basic_info,Have students been placed in Barclays?,Yes. Listed among past recruiters.
placement,Does Vodafone visit JSCOE for placements?,Yes. Listed among past recruiters.
placement,Is Vodafone a recruiter at JSCOE?,Yes. Listed among past recruiters.
basic_info,Have students been placed in Vodafone?,Yes. Listed among past recruiters.
placement,Does Cognizant visit JSCOE for placements?,Yes. Listed among past recruiters.
placement,Is Cognizant a recruiter at JSCOE?,Yes. Listed among past recruiters.
basic_info,Have students been placed in Cognizant?,Yes. Listed among past recruiters.
admission,How to take admission in FE B.E. via MHT-CET CAP?,Register and fill options on CET Cell portal; then report to JSCOE if allotted.
admission,What is the process for FE B.E. via MHT-CET CAP?,Register and fill options on CET Cell portal; then report to JSCOE if allotted.
admission,Steps to get admission for FE B.E. via MHT-CET CAP?,Register and fill options on CET Cell portal; then report to JSCOE if allotted.
admission,Guide me for FE B.E. via MHT-CET CAP admission.,Register and fill options on CET Cell portal; then report to JSCOE if allotted.
admission,How to take admission in DSE (Direct Second Year) via CAP?,Apply on DSE CAP portal; follow document verification and reporting schedule.
admission,What is the process for DSE (Direct Second Year) via CAP?,Apply on DSE CAP portal; follow document verification and reporting schedule.
admission,Steps to get admission for DSE (Direct Second Year) via CAP?,Apply on DSE CAP portal; follow document verification and reporting schedule.
admission,Guide me for DSE (Direct Second Year) via CAP admission.,Apply on DSE CAP portal; follow document verification and reporting schedule.
admission,How to take admission in MBA via MAH MBA CET CAP?,Register on CET Cell MBA CAP portal; lock choices and report to allotted institute.
admission,What is the process for MBA via MAH MBA CET CAP?,Register on CET Cell MBA CAP portal; lock choices and report to allotted institute.
admission,Steps to get admission for MBA via MAH MBA CET CAP?,Register on CET Cell MBA CAP portal; lock choices and report to allotted institute.
admission,Guide me for MBA via MAH MBA CET CAP admission.,Register on CET Cell MBA CAP portal; lock choices and report to allotted institute.
admission,How to take admission in MCA via MAH MCA CET CAP?,Use MCA CAP portal; complete verification and institute reporting.
admission,What is the process for MCA via MAH MCA CET CAP?,Use MCA CAP portal; complete verification and institute reporting.
admission,Steps to get admission for MCA via MAH MCA CET CAP?,Use MCA CAP portal; complete verification and institute reporting.
admission,Guide me for MCA via MAH MCA CET CAP admission.,Use MCA CAP portal; complete verification and institute reporting.
admission,How to take admission in M.E. via GATE?,Participate through CAP for M.E./M.Tech; GATE score required as per norms.
basic_info,What is the process for M.E. via GATE?,Participate through CAP for M.E./M.Tech; GATE score required as per norms.
admission,Steps to get admission for M.E. via GATE?,Participate through CAP for M.E./M.Tech; GATE score required as per norms.
admission,Guide me for M.E. via GATE admission.,Participate through CAP for M.E./M.Tech; GATE score required as per norms.
labs,What resources are available in the library?,"Textbooks, reference books, technical journals, educational DVDs/CDs, and e-resources."
labs,Which resources are available in the library?,"Textbooks, reference books, technical journals, educational DVDs/CDs, and e-resources."
facilities,Does the library support digital access?,Yes. Digital resources and e-learning access are available.
facilities,Do the library support digital access?,Yes. Digital resources and e-learning access are available.
facilities,When was the library established?,2004
facilities,Can research scholars use the library?,"Yes. Library serves students, faculty, and research scholars."
placement,How will I be informed about placement drives?,"Notifications via Email, SMS, and WhatsApp as per T&P rules."
placement,How will I be informed about placement drives? Please advise.,"Notifications via Email, SMS, and WhatsApp as per T&P rules."
basic_info,Is reporting time mandatory for drives?,Yes. Students must adhere to reporting time and instructions.
basic_info,Is reporting time mandatory for drives? Please advise.,Yes. Students must adhere to reporting time and instructions.
basic_info,Are reporting time mandatory for drives?,Yes. Students must adhere to reporting time and instructions.
placement,Do I need to register with T&P to sit for placements?,Yes. Follow department/T&P registration and eligibility norms.
placement,Do I need to register with T&P to sit for placements? Please advise.,Yes. Follow department/T&P registration and eligibility norms.
admission,Is CAP Round IV reporting for FE ongoing in early September 2025?,Yes. Window 02–04 September 2025 (check program-wise notices).
admission,Has CAP Round IV reporting for FE ongoing in early September 2025?,Yes. Window 02–04 September 2025 (check program-wise notices).
basic_info,Has GATE 2026 registration started?,Yes. Opened on 28 August 2025 at IIT Guwahati portal.
admission,Where to see MAH CET 2025-26 timetable?,Visit CET Cell Time-Table page.
admission,How to see MAH CET 2025-26 timetable?,Visit CET Cell Time-Table page.
admission,What is the eligibility for B.E. at JSCOE?,"Passed 10+2 with Physics, Chemistry, Mathematics; valid MHT-CET/JEE score as per State norms."
admission,Who can apply for B.E. at JSCOE?,"Passed 10+2 with Physics, Chemistry, Mathematics; valid MHT-CET/JEE score as per State norms."
admission,Eligibility criteria for B.E.?,"Passed 10+2 with Physics, Chemistry, Mathematics; valid MHT-CET/JEE score as per State norms."
admission,What is the eligibility for MBA at JSCOE?,Any bachelor's degree with eligibility per CET Cell; MAH MBA-CET score.
admission,Who can apply for MBA at JSCOE?,Any bachelor's degree with eligibility per CET Cell; MAH MBA-CET score.
admission,Eligibility criteria for MBA?,Any bachelor's degree with eligibility per CET Cell; MAH MBA-CET score.
admission,What is the eligibility for MCA at JSCOE?,Bachelor’s with Mathematics/Stats at 10+2 or graduation; MAH MCA-CET score.
admission,Who can apply for MCA at JSCOE?,Bachelor’s with Mathematics/Stats at 10+2 or graduation; MAH MCA-CET score.
